predictions,labels
1.9741561,2
-1.3736805,3
-0.99007535,3
-4.5650296,0
-9.955608,2
-5.003398,0
-13.353934,2
1.533369,0
9.967574,1
-3.0649567,2
-2.349322,2
-4.013709,3
2.7410467,1
0.9470441,1
-1.4953085,0
-3.8400033,2
2.5320308,0
-2.958899,3
-0.67518806,2
1.821858,2
-6.765694,0
5.842055,1
-6.3822575,2
-5.584343,3
-5.69519,2
-6.4166317,3
-2.0184567,2
-7.21824,2
-3.8684473,0
7.333159,1
12.443809,1
-11.618754,3
2.2751563,1
13.4265175,1
-5.5191474,3
10.09011,1
-7.5335402,0
10.042772,1
-11.218016,0
-8.614682,2
1.572523,1
-11.099594,0
-7.936364,2
-4.965143,2
-9.276853,3
-8.542843,0
-15.067879,0
7.147575,1
-1.2715034,3
-10.392575,0
-3.8446133,2
-3.7863288,0
-5.509679,2
-2.22595,2
-5.491056,3
1.7709854,0
-9.4509325,2
6.1071815,1
-2.767497,2
-6.4129014,0
-10.63288,2
7.9963813,1
-10.806843,3
-11.947213,2
-5.896696,3
-7.1395125,3
10.399921,1
-8.496744,0
3.4192314,1
7.3193197,1
-7.449027,3
-9.413024,0
-6.673426,0
10.4146595,1
7.39164,1
0.23187165,2
-6.684557,2
13.537402,1
-5.535887,3
4.2575912,1
14.457888,1
-2.2135932,1
7.139619,1
-2.4881876,0
-4.1499863,3
-0.6972533,0
-10.969748,0
-8.541194,0
1.3809344,1
-7.229077,2
-2.0470257,3
-0.24028659,1
3.8282063,2
12.747703,1
-10.931229,0
13.547428,1
3.1062248,1
-6.298678,3
-3.6486704,2
-1.2257525,2
-0.72237414,3
-4.4928517,2
7.57888,1
-4.2072735,2
-12.650157,0
-1.6770962,3
-8.003011,0
-3.883646,2
9.674042,1
-9.159208,3
-9.079558,0
-8.412178,2
-5.242341,2
-0.90922123,3
-3.0981226,2
-5.520403,2
15.124623,1
-9.168691,0
0.37762564,1
0.14743434,0
-4.349615,2
-1.7035222,2
-4.7086377,0
-4.631114,3
-8.094941,2
-3.8860176,2
-1.4144177,2
-6.9828873,2
3.7603354,1
-2.007304,0
-4.830927,2
-9.698013,0
-5.015606,2
-6.498809,2
-3.4420133,2
-7.0530915,2
10.920161,1
5.2905583,1
2.3043077,2
-4.446078,0
15.672374,1
-10.649667,3
-4.23616,0
-0.43916085,3
-2.7896318,2
-11.120673,2
-2.0934312,0
-2.5688572,0
-7.9972067,2
2.5832725,1
-3.6158717,3
16.056154,1
-1.5594714,2
-8.246787,2
-3.7888832,2
-0.5355904,1
-4.9618654,3
8.591705,1
-8.030471,0
-6.8556843,3
-7.4976277,2
-5.776122,0
0.60917443,1
-8.19172,2
-1.8680986,0
-8.508215,0
10.970934,1
1.6619965,3
0.8022,0
-0.51847976,2
5.3394494,1
-11.535722,0
-2.9369023,2
-4.532362,2
9.075863,1
2.629242,1
-12.74015,0
-8.397739,2
-4.8048763,2
5.031422,1
-2.7920673,2
-0.7864483,3
-3.8523548,2
-6.0395856,2
-4.3351274,3
-8.189198,2
-7.285205,3
11.611857,1
7.838461,1
0.80817926,3
-8.028077,0
-3.982157,3
-3.5138328,2
-8.609199,3
-6.355692,2
-4.4579062,3
-3.5205176,3
8.61784,1
-4.342783,0
-3.0747776,3
-2.5294168,0
-5.9913397,2
-4.346077,2
4.608205,1
8.854058,1
-6.5652328,0
1.7524023,1
1.8683453,3
-4.7355647,3
4.855694,1
-9.189109,0
-6.42428,0
9.242521,1
-6.1784015,0
2.619583,1
-3.972316,3
-1.7517668,0
5.1652718,1
-9.519922,2
-5.9449706,3
0.7087396,0
12.321184,1
11.256084,1
-8.281569,0
2.5089605,1
-9.99874,0
-4.790349,0
-3.2476702,3
-5.642069,2
7.4345226,1
-7.0934443,0
-0.5052318,0
-0.2904766,1
9.73449,1
-9.785793,2
-3.343224,3
6.0486784,1
10.212304,1
-3.4195242,2
7.1152406,1
11.94745,1
-9.152869,0
-1.7498261,2
14.069348,1
-11.636698,0
-9.837437,0
-4.3359613,3
9.201466,1
-9.217752,2
-8.950029,0
6.6992083,1
-5.2874446,3
12.667836,1
-0.73981166,2
-7.9550424,2
-6.015216,3
0.5172963,1
-2.286125,0
12.581572,1
-6.8278646,3
1.1056105,1
-4.186274,2
1.2340685,1
-6.005551,0
-9.086321,3
9.878054,1
-6.9517727,2
-5.0401855,3
-3.6816292,3
-2.3584898,3
-5.1304398,0
12.14006,1
6.606337,1
5.584992,1
-12.940342,2
2.8477764,0
13.481962,1
-13.942965,0
-8.300931,2
-1.8637427,3
-0.115575045,1
-8.362181,2
11.398823,1
8.9476185,1
-11.5482435,2
-8.931454,0
0.3776347,0
2.383531,1
-5.8411674,3
-10.3752575,0
8.926545,1
-7.350849,2
2.187267,1
-3.1906831,2
-9.598687,3
-12.098467,0
-8.257853,2
17.131931,1
11.305052,1
-8.137463,2
1.0325927,1
-9.494323,0
0.37471065,3
-11.2891035,0
-5.623671,3
7.4059777,1
-4.6886854,2
-4.1048436,2
-7.8484287,2
-0.4591666,3
-1.2434052,0
-9.081785,2
-10.404365,0
-3.9657295,0
13.061343,1
-8.203325,2
-4.1539583,0
-3.3269353,2
-9.276246,0
10.287763,1
-1.3802856,0
-11.936781,2
-4.126183,2
-6.899015,3
6.61347,1
1.4803525,0
-2.524222,3
11.473247,1
-2.1390777,3
2.2208817,0
-4.3888907,2
0.5730879,3
3.1064408,1
