predictions,labels
-9.738317,0
2.6791728,1
-8.581539,0
-3.699534,2
-1.5276513,2
-0.2519898,3
6.47642,1
1.8914838,2
-2.9277165,0
2.5409625,1
-0.3653348,0
1.091627,1
3.3243904,2
-3.760888,0
-1.3781235,0
11.643612,1
14.591178,1
-1.526723,2
0.7765893,3
2.110106,2
-2.9856715,0
-6.4493484,2
-1.1863999,2
8.081779,1
-3.2100568,0
15.10967,1
-4.896819,2
-1.7484335,2
-7.996166,0
5.9084377,1
-6.5473013,2
3.4196284,1
-4.167308,0
-0.45449385,2
-0.10115654,2
-0.1522306,3
-3.595234,3
1.7955285,2
-4.5406847,0
2.2572014,1
7.1268315,1
-4.8910403,2
-1.3153777,2
1.6646453,3
-3.3019655,0
17.016485,1
1.568662,0
-4.6510262,0
-4.985306,0
-9.588348,0
-1.7427808,3
-5.435766,0
4.1066585,1
-7.58247,0
-2.7747426,0
6.8117948,1
-0.12561749,3
-5.35686,0
-3.6939745,0
-1.0749781,3
-5.943734,2
-2.1914463,3
-3.4387512,0
-3.2576382,0
-8.33088,0
-3.0917263,3
-0.68248993,2
-0.22937296,1
-4.1965294,3
3.366456,1
-2.1377707,0
-5.9122977,0
2.6428971,1
-3.0090525,3
1.1220238,2
-0.7229174,2
-2.2733464,2
-1.1845279,2
-1.8034174,0
-6.085404,3
2.6094747,1
-3.9166389,2
8.902301,1
4.661905,1
-1.424017,2
9.842973,1
-4.264574,0
-3.7031374,2
-0.34946302,1
-0.59925455,2
-12.914439,0
-2.347296,2
7.864794,1
-3.3552601,3
4.790802,1
-6.659895,0
-1.2840902,2
2.3563209,1
-1.3785439,0
-10.913231,3
-2.0541394,2
1.9364005,1
8.099875,1
-0.88211817,3
-2.0956542,3
-1.7836393,2
-8.062961,0
0.20858186,3
-4.866588,0
-6.1702514,2
7.2534895,0
-4.51673,0
1.6586553,3
0.27979466,3
-5.8142858,2
-2.894979,0
-2.353624,2
16.050089,1
0.16143924,3
-4.4064903,2
-3.1593664,3
0.45265108,3
-3.4026823,2
-2.9700146,0
-0.28291038,2
-0.89913875,3
-4.949971,2
-8.246094,2
-3.1161141,3
17.900679,1
-1.6536503,0
4.269307,1
-3.5026941,0
-3.7585597,3
-2.5034313,2
-2.6836512,2
-0.81272256,3
-4.8780594,0
-3.1088433,0
-0.80894953,2
-1.9427774,3
-7.1943583,2
-3.9420342,2
7.956622,1
-6.3314257,2
-0.5857537,3
-7.336097,0
-3.7440455,2
1.5470309,1
-4.858527,2
-2.0298297,3
2.732212,2
1.1797132,1
-3.6009314,2
7.2569313,1
-1.4841466,0
-4.396259,2
0.88826257,3
-2.9130046,0
-4.5030684,0
-1.8135135,0
-6.1312795,3
-13.497232,0
1.0746366,2
-0.49813673,2
-9.207627,2
-4.064693,3
-2.3614347,2
-2.902928,3
-0.09706263,2
-1.5711017,3
3.6500452,1
-3.764564,0
15.957133,1
