predictions,labels
1.4148089,3
7.2897735,1
-1.1150018,3
5.4816656,1
-4.3100634,2
-7.2557955,0
-3.1830175,0
-6.252117,2
-2.9087486,3
-3.0352397,0
5.834485,1
-5.082649,3
-5.7102275,0
-2.2032654,2
-7.7230854,0
-4.9515343,3
3.640396,3
-9.248552,0
-2.9693315,2
-8.0861225,3
-1.7103586,2
-7.2627044,2
-1.2983918,3
10.722826,1
6.915851,1
-6.741074,0
0.39926377,3
-0.7660115,3
-2.6769433,2
1.2621605,2
-1.2062781,2
-5.5325584,0
10.665085,1
-1.6153811,3
-0.15952018,2
13.404411,1
4.3183994,1
6.6994605,1
10.571453,1
-3.3747795,0
-3.3383865,2
-0.47926733,2
-4.396325,2
1.3492186,0
-0.48391125,3
19.58333,1
0.879541,2
-1.5919902,3
1.3625938,0
-1.9747701,2
-1.937141,3
-4.1015983,2
13.888142,1
-2.7143486,2
0.50582904,3
-6.0380344,3
-7.540812,3
13.3737755,1
-3.9024518,0
-4.309922,2
-2.6684713,3
-3.8998563,0
-8.552364,0
-5.2190094,2
-5.119562,0
5.1631565,1
1.2593749,2
-6.050303,2
-4.077928,3
1.5860152,0
2.4734719,2
-3.9218566,0
-3.597057,3
-4.2589226,2
-1.5191324,3
-0.8965665,0
-4.653762,2
17.897097,1
-3.826146,3
-4.958203,2
14.509481,1
-5.7552814,0
-2.5753973,3
-0.67650014,2
12.894356,1
10.816544,1
-3.1607697,3
1.1039991,3
-0.76150733,2
-7.477288,2
6.7712083,1
-4.6523476,2
-2.2881036,0
11.500142,1
15.327464,1
-4.6971674,0
-2.0529854,2
-0.7717361,3
-0.03110537,2
-2.2451575,2
-5.7105436,0
-4.149865,0
11.519258,1
-2.8709705,0
-4.913917,3
-9.618217,0
14.207645,1
-6.1210256,2
13.893843,1
-10.171154,3
-4.793785,2
-0.1752525,2
-5.7153625,0
-6.8464394,0
14.19367,1
-4.24293,0
2.6396315,3
-11.339836,0
13.011714,1
16.5112,1
-3.506245,2
-4.4877987,0
-2.6617503,0
-6.104868,2
-2.9465072,3
-6.6892166,2
-3.4760497,3
-3.62814,3
-6.9347324,0
-5.6905375,2
-0.84846115,2
-5.677415,2
-2.9275541,2
-7.3920164,3
12.576585,1
-6.258513,2
2.7741177,2
-2.5050266,3
-8.205615,2
12.519373,1
1.024622,0
0.7083116,2
0.10582987,3
-7.3142967,3
10.168178,1
14.707755,1
-2.2630785,3
-2.3346975,3
-1.4613636,3
-4.6088443,3
12.592702,1
-4.0805707,2
1.7086184,2
-5.3240337,0
-0.90340775,0
-0.642523,3
-7.479747,0
-3.3558543,0
1.1396093,2
7.526193,1
-3.7052112,2
-8.261659,2
10.983106,1
7.7717457,1
14.4525795,1
16.505905,1
-7.632985,0
-7.783225,0
1.8130692,3
-4.0347376,0
8.228616,1
-0.009546914,0
0.122672774,3
4.963845,1
-3.8067477,2
11.738113,1
-4.728035,0
-1.8444037,2
-4.703914,3
12.050867,1
14.209178,1
-1.7817531,3
11.983032,1
-2.6476376,2
-5.519444,2
2.6943457,3
10.394371,1
-4.542372,2
-0.1269916,3
-5.845895,0
3.9241426,3
-5.5590224,3
-8.154815,0
8.9874325,1
0.72152156,2
-2.6887739,3
-4.5117054,3
-4.814845,2
-1.2296598,3
-8.88303,3
11.014814,1
0.46558776,1
-2.616988,3
-2.612648,2
-5.304533,0
-4.5173297,2
-2.2878385,3
0.6565599,3
-1.7959297,0
-8.976861,3
0.7688572,3
4.0693536,1
-4.3568163,3
-1.7962148,0
-5.9919996,2
8.079556,1
10.397047,1
4.395948,1
-0.42364913,0
-4.293804,2
9.357104,1
5.7386193,1
10.674646,1
-7.084022,3
-6.80197,0
-3.6122797,3
-5.3645754,0
0.09464697,3
14.902325,1
-5.024482,3
-8.219559,0
-5.2453127,2
-5.1320586,2
0.16783503,2
-5.8467484,3
11.943556,1
11.569633,1
1.7029774,2
-0.26290154,2
15.191589,1
-6.279094,2
-4.3644876,2
-1.0862468,0
-7.678235,2
14.066549,1
10.602903,1
0.31356075,1
-8.495895,0
-6.003535,3
21.881401,1
0.25404653,2
-10.377961,0
-0.0035520128,1
2.1657624,2
7.8042803,1
-5.0206017,3
-0.19461134,3
1.9562933,2
1.7023754,3
6.2937117,1
-8.674227,2
13.093007,1
-0.4266723,3
-2.9332287,3
-5.0696983,0
11.072274,1
-6.3836365,2
-3.4177763,2
-2.7316747,2
-8.931965,0
-1.8105239,3
0.7540632,1
-5.4580054,0
-6.559319,0
7.0751257,1
11.82779,1
-7.1060934,0
-5.7481213,0
11.905704,1
13.715594,1
13.211294,1
0.83490056,2
-0.37751174,2
5.640336,1
1.4329288,3
-2.59515,2
7.1954083,1
-4.3340316,0
-0.96843773,2
1.3239124,3
-2.5043774,3
-4.6010985,0
-2.6480567,2
11.8647785,1
-5.836324,3
-5.5370035,0
13.31773,1
4.7908597,1
-9.516919,0
-3.9401968,2
-1.47018,3
-4.1972404,0
-2.4827907,0
-1.5963144,2
-3.1755881,2
-4.3248076,2
-1.9669751,0
-6.2354417,0
-2.397186,0
-0.3882644,3
-3.6878057,3
7.9510612,1
-4.8552074,0
-2.6544952,2
12.709467,1
-2.490722,2
-8.328107,2
11.068448,1
-2.5830965,3
1.3211154,1
1.1879939,3
-8.166895,3
-3.976667,3
-4.236765,2
-6.591215,0
-9.528927,0
-5.8869414,0
0.5886203,1
10.276408,1
-3.428016,2
14.82388,1
-5.8220115,0
12.40059,1
-8.895796,3
-5.8202415,0
7.272628,1
13.670382,1
-0.457369,3
2.6469967,0
-6.2013187,2
2.9401145,1
16.222132,1
-8.365643,0
-8.175335,3
-7.4390383,3
-7.6284037,2
10.332299,1
1.6327665,0
-9.425759,2
-2.8385675,0
9.771857,1
-2.616769,3
-6.4012036,2
-6.2445035,2
8.073749,1
-4.57354,0
-2.9060473,2
5.953802,1
-3.3825622,2
-7.067773,3
-4.918683,0
-2.3021505,3
-3.7316172,2
0.14278898,2
-2.914347,2
15.970049,1
-4.1560006,2
-0.6299333,2
5.5685606,0
2.035822,2
-6.3197336,2
-6.4080725,2
-1.7717413,3
5.0845966,1
-0.15873718,3
-3.7709024,2
-3.2883985,2
-0.34068617,0
-10.081279,0
0.5228716,0
22.816673,1
-12.517441,3
-7.1610227,2
-7.943206,0
-5.1407614,2
-6.921894,3
10.200255,1
-2.6145792,0
-5.7179832,0
10.772567,1
12.910304,1
-4.767794,2
-1.4521196,0
-2.153917,0
-4.368443,3
-6.680256,2
0.6321967,3
-1.1264784,2
-3.290028,0
11.356712,1
11.741322,1
-0.13981017,3
-9.023182,0
-1.839731,2
-8.144634,0
-5.942381,0
-6.870955,3
-5.7476363,2
1.5254767,2
-3.0848546,3
-0.7741663,3
-2.5533366,2
1.111037,3
12.409397,1
-7.2385783,2
1.6048753,0
-3.1802018,0
-6.8931694,2
-3.516441,0
9.250832,1
-3.312375,3
-3.925316,0
-0.11098882,3
-3.4498084,2
-5.9005966,3
5.2956657,1
-1.0591667,3
-7.543397,0
1.5819926,0
-6.795662,2
-2.6948712,0
0.85003036,2
9.429036,1
-6.7089987,2
7.4866576,1
-5.0780625,2
-2.6447127,2
-6.0477734,0
10.014733,1
15.047524,1
9.111823,1
-1.9508669,2
8.483807,1
-4.825815,0
-4.44863,2
5.430618,3
-9.215205,0
11.675598,1
-4.7569456,2
-6.0972333,2
4.5255127,1
-7.0868583,0
-4.745987,2
-3.9378657,0
0.9221009,3
-4.320101,0
-3.4621215,3
-1.1473352,2
-3.4778192,2
-5.61804,2
11.496193,1
-1.5029936,3
-0.9581156,0
-7.049265,0
8.5162525,1
-6.604452,0
-2.0172732,2
-5.8459454,2
-7.168922,2
-1.0060704,3
-2.6703928,3
1.3387347,3
13.75542,1
-2.2080648,3
-4.9017363,3
0.72448736,1
6.3421097,1
-2.0005646,2
9.706382,1
-0.4542022,2
10.264645,1
0.2905335,3
1.6054649,3
-8.746574,2
-4.709691,3
12.920985,1
7.3675513,1
-2.1949253,3
-1.7624114,0
2.4885373,0
0.6318383,3
16.766739,1
-0.9204505,2
-4.9660406,0
1.253443,2
-3.414573,3
2.4130404,2
-3.920537,2
-1.614613,2
0.43430302,2
-5.383996,0
-6.9934363,0
8.653327,1
-5.665765,0
0.533253,3
-3.201529,0
-5.144579,2
2.626148,0
-6.121928,0
-4.3422246,0
-3.0886185,2
-2.8951778,0
-4.2581563,3
-1.9125149,2
-7.14005,0
-2.7859068,2
9.157328,1
-2.7949417,2
5.4924746,1
-3.622702,3
-2.7323444,3
11.56322,1
9.580363,1
-0.52440345,0
-6.738578,3
-0.676195,2
-10.081716,0
0.043967962,0
-1.9706383,3
12.605554,1
-8.74979,2
-5.8562083,3
-4.564706,2
-0.5820819,0
-8.482143,0
10.961346,1
-2.9978654,2
5.46064,3
-5.9743724,2
-5.589116,0
-5.805999,3
-2.121178,0
4.918037,1
14.12333,1
0.92072356,2
-1.0032682,0
14.199649,1
0.69322896,3
2.1153233,3
9.533217,1
-2.9162729,0
-11.638678,0
10.027144,1
-2.1421976,0
11.156461,1
-6.720142,2
11.935335,1
6.9429054,1
-2.052564,2
0.2647336,0
-4.804568,3
-7.011196,3
-2.3310387,2
-3.242762,3
-3.6929839,3
-1.4528555,3
6.5882645,2
-4.9636254,0
-2.4663315,2
-6.1784678,2
-7.234897,3
-6.6309505,2
-7.022461,0
14.317839,1
-4.0321813,2
-7.3572392,3
-3.9535813,2
-5.9855013,2
11.408758,1
-2.3837993,2
3.7604728,1
-2.5782487,0
-3.2885802,3
2.1656609,2
6.530864,1
-1.9250262,0
-0.79594755,3
-1.998771,3
0.4552615,3
1.9182217,2
-3.736187,2
2.1473696,1
0.00750441,0
-5.2733397,2
8.462655,1
-4.826543,0
0.7086217,0
-3.7264755,2
-2.6776578,3
-1.4893724,2
7.9061832,1
-7.9613223,2
12.563585,1
-3.0957913,2
10.866293,1
7.87304,1
-2.0374334,2
-3.7382815,3
-4.102286,0
-2.8503542,2
-11.209418,2
17.131517,1
-0.92002463,3
-5.9377704,2
8.912366,1
1.0052347,2
11.527402,1
-6.9641066,0
-0.5158024,3
12.950294,1
-3.2046103,3
-5.5199003,2
-4.3786755,3
-4.337306,2
11.246355,1
0.9058939,2
-2.673626,2
0.52116054,0
0.851148,0
-10.045975,0
11.778772,1
-5.702234,2
-1.9929129,0
-6.27005,3
11.950379,1
-3.187578,0
-4.8741913,2
-7.074855,3
-6.4153185,3
11.968377,1
2.525503,0
0.24529353,2
-3.4992878,0
-5.0115585,2
-2.3234136,2
-4.4735317,3
0.9851011,3
-5.468644,3
-3.330908,2
-3.8151941,0
0.9686176,0
-4.7368755,2
-1.7232032,0
-2.8738692,2
-1.7562113,2
11.682128,1
-4.120727,0
12.717562,1
-6.6718287,0
-5.5324407,3
-5.1007457,3
7.2789087,1
-4.8497205,2
-8.846459,0
-4.736809,2
-0.20691457,0
-0.607665,0
-2.2128487,2
-2.4669306,2
-3.5586057,2
9.844826,1
-2.4431415,3
-4.9369135,2
-4.7170196,2
-3.5725336,2
0.41708302,3
-4.266667,0
-2.3199866,3
-4.8246536,0
12.65239,1
-2.6691034,2
-1.4157209,2
4.1325326,1
-1.5255538,3
-7.547656,3
-1.7888868,0
9.210159,1
8.875594,1
-1.4374108,0
1.3514204,0
-5.338638,0
-0.81363386,2
-1.8845315,0
-0.968499,2
12.030636,1
10.929403,1
-6.7848825,2
-1.3324294,3
-5.6111326,2
-5.4974365,3
2.7892022,0
1.0843322,2
1.0839067,1
-9.81344,3
-3.049825,2
-5.2647305,0
-1.0227181,3
-2.954875,0
0.67435247,3
-0.034122817,3
-1.7806509,2
12.21774,1
-1.8008785,3
-0.7059123,2
-3.0591958,2
-6.5001364,2
-3.5710278,3
-9.4099045,0
-0.3111849,2
-6.1354504,2
-1.0582156,0
-6.0578327,3
-6.326251,2
-10.430059,0
-2.8782325,3
4.715297,2
9.945299,1
-2.8916736,3
-6.2478724,2
-5.1007533,2
-9.823997,2
7.268942,1
-2.6095338,0
-0.92775494,0
-2.8547277,2
-2.2847888,0
-4.1641407,2
-4.6748676,2
7.130849,1
11.056763,1
-6.4112463,0
-4.2379103,2
-8.715001,3
18.22068,1
