predictions,labels
0.3926453,2
-0.2877645,1
-0.2317943,3
-0.5589162,3
-1.5366974,0
-0.31629843,3
-0.18285555,2
-1.3206443,0
-2.4243,0
-0.7082207,2
-3.2103603,0
-0.44844866,0
-0.19047585,1
-1.9930279,0
-0.4460491,0
-0.33652174,0
-2.9692588,0
-2.649337,2
-0.9107649,3
-1.6817722,0
-1.0137429,0
0.039327107,1
-1.0621381,1
-2.784281,0
-0.83822256,1
-0.50907326,3
0.709695,2
-0.188449,0
0.7167802,0
-0.7944311,3
0.4764186,3
-2.466249,0
0.07644262,2
0.007768534,2
-0.9511326,2
-0.27443424,1
-1.3111478,2
0.6948502,0
0.21418846,1
-2.5136743,0
-0.8507446,0
0.49794567,3
-0.45287475,3
0.36930227,3
-1.981842,1
0.5035401,0
-0.65115017,1
-0.72689027,3
-0.3554337,3
-0.88608205,3
-0.5076569,3
-0.3662711,0
-0.28242302,1
-0.25839344,1
0.7820972,1
0.16925842,2
-0.5722278,1
-0.40433967,0
-1.4592032,0
-1.3515835,2
-0.72738343,2
0.05774901,1
-0.1466228,1
-0.0923151,2
-0.8348889,3
-0.37662303,3
-1.5600891,3
-0.3979081,2
-0.27132457,3
-0.6874931,0
-0.2724361,2
0.27685454,1
0.41805243,2
-0.2421247,2
-0.6854194,0
-0.9757498,0
0.490703,1
-0.7373767,3
0.1458045,1
-0.17859629,2
-2.1784856,2
-0.47739285,2
-0.7771885,2
-1.4385123,2
-0.12462932,0
0.9562032,1
-0.37735403,2
-1.0203605,0
-1.5215886,0
-0.7767912,3
0.6494106,1
-0.6247402,0
-0.7212913,2
-0.27551964,2
-0.16748732,0
-0.37618777,1
-0.040658064,3
0.052734517,1
-1.4869001,3
-0.38733965,1
-0.5677229,0
0.47325945,1
0.48730803,0
-0.68106985,0
-1.2000253,1
-2.0990214,3
0.1759676,3
-0.2275896,0
0.49051052,0
-1.937664,3
1.1793947,1
-2.730551,2
-0.12955019,1
0.17296296,0
-0.4800285,2
-0.20042135,2
0.5220558,1
-1.3402642,3
-0.35165888,3
-2.831868,0
-0.6732639,3
0.8418485,0
-0.10663397,2
-1.273109,3
-1.3719435,2
-0.41953278,3
0.16161013,1
-0.84512746,2
-0.6541659,0
-0.79103076,2
-0.29082993,2
-0.714667,2
1.4861997,0
-0.30908278,3
-0.16984686,3
-1.0411236,2
0.6965078,2
-0.861406,2
-1.1895045,2
-0.5411175,0
-0.7935424,0
-0.39311647,3
-0.9080239,2
-1.2917572,2
-1.6366878,0
-0.5853075,3
-0.25834855,1
-0.54002684,2
-0.21445018,1
-0.19480443,1
0.47340405,1
0.23400348,2
-1.4525205,2
-1.1624112,2
-0.4703119,0
2.668941,1
-2.632638,3
-0.7527496,0
-0.05339562,3
-0.11509514,2
0.2745662,0
-0.9396664,0
-0.798152,3
-1.2123249,0
-2.7051468,2
-0.25162703,0
-0.12955603,1
-0.51461715,2
-1.0426539,2
-2.351368,3
-0.7543599,0
-0.21751761,3
0.16457802,1
0.33975157,3
-0.7853252,2
-0.8410844,3
-0.8413118,3
-1.4425403,2
-0.5950619,0
0.76009274,2
-1.1932781,2
0.14894524,2
-2.5619588,2
-3.3722825,0
0.9530488,1
0.080101036,1
-0.66480315,3
-0.23403189,1
0.051073812,2
-1.3839588,2
-0.42388394,3
0.41137058,3
-0.4218268,3
1.2045414,1
-1.0105405,0
0.4074114,2
0.6790071,1
-0.7499122,2
-0.9172131,2
1.434972,1
-0.8609668,0
-0.20009476,1
0.07035967,0
-0.5148129,2
-1.5753685,0
0.05936893,1
-0.885854,0
0.478611,1
-2.3395123,0
0.6708468,2
-0.9511564,3
-0.60713834,2
-1.7281113,2
-0.28308377,2
-0.12732828,2
-0.19934931,1
-0.25519723,3
-2.519674,0
0.872283,1
1.1915827,0
-0.2084912,3
-1.278719,0
-1.4374064,2
0.6996597,0
0.40448812,2
0.53850234,1
-0.57166773,3
-0.21913037,1
0.11430182,1
0.82693475,1
-0.012866415,1
0.5747096,1
-0.64717495,0
-1.7511619,0
1.0171318,2
0.4099289,1
-1.297684,2
0.056696318,2
0.37598336,2
-1.6528295,2
-1.2849542,1
0.37212574,2
-0.15313229,2
-0.46461165,2
-2.6037097,0
-0.30620915,0
0.79540956,0
-1.0072466,0
-2.1242414,2
-2.6435905,2
0.70074594,1
0.2894194,2
-2.474685,0
-0.42074412,1
-1.3989683,0
-0.10646888,0
-0.92299825,2
0.10618176,2
0.14407566,0
-0.051832013,3
-0.13413757,0
0.33287072,0
0.8393686,1
-3.304189,2
0.08864511,0
0.17050368,2
-0.5991685,1
-2.612577,2
0.1190744,3
-0.21947199,2
0.30444002,2
-1.3941414,2
-0.23204389,2
1.4378121,1
-0.9412539,2
-0.124721244,1
0.28218973,2
0.08726444,0
-0.9262023,2
-3.0836363,0
-0.4378283,0
-1.319788,2
0.69475025,2
-0.34104657,2
0.22431254,1
-2.4668262,2
-0.23052385,1
-1.5877918,3
0.009868346,1
-0.4456317,2
-0.4161186,1
-0.0991627,0
-0.66024923,0
-0.22332284,3
-1.0781679,0
-0.5153559,3
-0.030313216,3
-0.679683,3
-2.5638525,2
-1.937589,0
-0.046111222,2
0.14024046,1
1.0399108,0
-1.0578301,3
-0.6182784,2
-0.65033203,0
1.2767401,1
0.060342915,2
0.8345966,1
-0.15778942,3
-0.589729,0
-1.9320096,2
-1.2923615,3
-1.3319323,1
0.23814303,1
0.9457439,1
-0.59139305,2
-0.3916031,2
-1.0681065,3
-0.70570344,1
-1.3894249,1
0.7631531,1
-0.7635177,1
-0.75422674,1
0.9856473,1
0.25126085,2
0.6703012,3
0.1778467,3
-0.7389472,2
-1.2049435,0
-3.605107,0
-1.3591425,0
-0.6212286,2
-0.22369072,1
-0.7506976,3
-3.1432712,0
0.27865198,0
-1.1371602,0
-0.49113432,1
-0.79139674,3
0.1971558,0
-0.28888482,1
-1.5660557,0
-0.7011724,2
-3.7892835,2
-1.9080896,2
-1.5722864,2
0.24171835,1
0.8416521,1
-0.10852754,1
-0.7577733,3
-0.413365,0
0.08566972,2
-0.86071646,2
-0.49348545,2
0.85968685,3
-0.9578837,3
-0.8235723,2
-0.4939869,0
-0.34092656,2
-0.2940108,1
-1.1027404,3
0.006308548,1
0.009032421,3
-0.05203303,3
-1.3853723,3
0.09509551,1
-1.7629805,2
-0.21537727,3
-0.2441544,3
-1.8102132,2
-0.88609636,3
-3.3009071,2
-0.42185143,1
0.71137,1
0.06757533,3
-1.0143481,0
-0.6595695,3
-1.0236295,2
0.12670892,3
-1.4741886,3
-2.8917058,0
0.30260628,1
0.58940697,2
-0.94248235,2
-2.34955,2
-0.06724674,1
-0.65856934,3
0.04348775,2
-0.2021094,1
0.34292352,3
-1.3395314,0
-0.22172824,3
0.020968668,0
-0.6017581,3
0.66022235,1
-1.2039065,0
-0.7164733,1
-1.4744056,3
0.3757364,1
0.20289344,0
0.21051228,3
-0.3269608,2
-2.6973748,0
-0.9222445,2
-0.22358772,2
-3.0483632,2
0.33727625,1
-0.0016201511,2
-0.7014992,2
-0.15015517,3
-1.1787633,3
0.1535083,2
-0.46735752,2
-0.39251372,3
0.1130174,3
-0.85685134,2
0.25220305,3
-0.93005073,3
0.031834118,0
1.5135028,1
-2.3671613,3
-1.3488655,0
-2.842434,2
-0.5747116,2
-0.110811524,1
-0.35280383,0
0.5773878,0
-1.1732228,2
-0.13327196,1
1.5339334,1
-2.2788806,0
0.44121087,1
-0.104496874,0
0.23334068,3
-0.63061684,2
0.23235252,2
-0.83954245,3
-2.5127344,2
-0.46988755,2
-0.86655533,1
0.49727142,2
-3.1487799,2
-1.0684942,3
0.6682769,1
-1.3500388,2
-1.3576353,0
-2.1613457,2
-0.93500364,3
-0.21827975,2
-0.2202743,1
-0.3639872,0
-0.31072783,3
-0.1316733,3
0.32524568,1
0.5591874,3
-2.6673648,2
1.8977803,1
1.2035793,1
0.27134055,3
0.34186208,1
0.81346893,1
-0.42026627,1
-0.66053754,2
-0.23816898,3
0.526736,1
-1.3103467,3
-0.5316166,3
0.04187896,1
-0.8851282,3
-0.90176594,3
-0.16774127,3
-1.0211571,2
0.1594896,3
-1.4298191,0
0.4170527,2
0.98358476,1
-1.1112955,0
-1.8845385,0
-0.5387236,3
-0.6102554,2
0.044409223,2
-1.0928028,3
-0.6550213,3
-2.3433545,0
-1.1454213,2
-0.4543853,2
0.22526085,3
-0.00030557066,0
-0.10692596,2
-0.37433124,3
-0.5923745,0
0.00033778697,2
-1.0192152,3
-0.8747081,2
0.90819496,0
0.7522323,1
-0.39245906,3
0.041529737,1
-0.4395669,3
0.77298284,1
-0.34567362,3
-1.739576,0
-0.4816272,2
-0.9024912,1
-0.7278326,3
-0.16671118,1
-0.041876234,0
0.526855,3
0.74827385,2
-0.0050724,0
0.06263382,3
-1.6749492,0
0.00874763,3
-0.98042256,1
-0.10067161,1
-0.2973401,3
0.06599826,2
0.02382771,1
0.63395315,1
-2.3268094,0
-1.498006,3
-1.1106355,0
0.09837013,1
-1.5704838,3
-0.61460865,2
1.1490387,1
-1.0445585,0
0.14061132,0
1.1278436,1
0.14277977,0
-0.2280266,0
0.13299495,2
-0.2768313,3
0.28273073,3
-0.037911236,1
-0.65379155,2
0.6299451,1
0.01380565,2
-0.0127253905,2
-0.70720243,2
0.8875957,2
-1.285708,0
-0.1337133,2
-0.454953,2
0.018705241,0
-0.14246704,3
0.5701671,1
-0.5464608,3
-0.33468923,2
0.67834246,2
-1.3429198,1
-1.4852324,3
-0.79868317,0
-0.13095063,3
-0.5360201,2
-0.54035985,0
-0.8493048,2
-0.07757783,1
-0.4262793,2
-0.048853762,0
0.293338,0
-0.3556195,2
0.2854839,3
-1.0054018,2
-0.42783076,2
-0.86911464,2
-0.7613634,0
-0.56505543,2
-1.1781853,3
-0.897508,1
0.79892004,1
0.055920146,3
-0.7074601,2
-0.17899908,3
-0.46842203,2
-1.9497482,0
0.07716156,3
-3.0474274,2
1.4211911,1
-3.1265016,2
-0.42154673,2
-0.44511825,0
-0.20608747,1
0.027022034,1
0.16488516,2
-0.15777966,3
0.12463642,2
-2.4885063,0
-0.02104149,1
0.6738091,1
0.4852385,1
-0.2213201,2
0.52889395,1
1.9729342,0
-0.45834565,1
-1.262266,2
0.2757807,1
-0.44341093,2
-2.0972981,0
-0.09920805,3
-0.7638804,2
-0.78196913,3
0.27367115,0
0.4580984,2
-0.714218,0
-1.4091393,0
-0.27806485,1
-1.0116857,3
-0.6148336,3
-0.8554707,0
-0.57678103,0
-1.5211711,2
0.059865706,1
-0.40696967,1
-0.5620432,3
0.09321084,3
-1.0060922,2
-0.46888417,2
-2.097739,2
-0.26690042,3
-0.4280827,1
-0.49761614,0
-3.3995085,0
-0.24462709,3
0.074616216,1
-3.1838498,2
-0.042465813,2
-0.58208835,3
0.39136276,1
0.115672044,2
-0.21572778,2
-0.7187744,0
0.46332717,1
0.16660947,1
0.10958021,1
-2.9510906,2
-1.0032953,0
-0.0037350655,1
-2.9143453,2
0.15895733,3
-0.80387676,0
-1.5938929,0
0.58197975,1
-0.63194954,1
-0.43317705,3
-1.311828,3
